PostalCode,Neighborhood
60601,Loop
60602,Loop
60603,Loop
60604,Loop
60605,Near South Side
60606,Loop
60607,Near West Side
60608,Near West Side
60609,New City
60610,Near North Side
60611,Near North Side
60612,East Garfield Park
60613,Lake View
60614,Lincoln Park
60615,Grand Boulevard
60616,Near South Side
60617,Calumet Heights
60618,Avondale
60619,Avalon Park
60620,Auburn Gresham
60621,Englewood
60622,West Town
60623,South Lawndale
60624,West Garfield Park
60625,Albany Park
60626,Rogers Park
60628,West Pullman
60629,Gage Park
60630,Portage Park
60631,Edison Park
60632,Brighton Park
60633,South Deering
60634,Dunning
60635,Dunning
60636,West Englewood
60637,Woodlawn
60638,Garfield Ridge
60639,Hermosa
60640,Uptown
60641,Irving Park
60642,West Town
60643,Beverly
60644,Austin
60645,West Ridge
60646,Norwood Park
60647,Logan Square
60649,South Shore
60651,Austin
60652,Ashburn
60653,Grand Boulevard
60654,Near North Side
60655,Mount Greenwood
60656,Norwood Park
60657,Lake View
60659,North Park
60660,Edgewater
60661,Near West Side
60666,O'Hare
60706,Norridge
60707,Dunning
60712,Lincolnwood
60805,Evergreen Park
